,neighbourhood,host_name,room_type,neighbourhood_group,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,price
1491,188.7462686567164,85.3076923076923,1,4,9.666666666666666,-0.2,0.0,0.043478260869565216,-0.26578073089701,0.0,0.0,0.0,60
1492,188.7929104477612,240.0,2,4,9.666666666666666,2.4,0.32692307692307676,-0.17391304347826086,0.03322259136212625,-2.0,-5.0,1.0,240
1493,188.7929104477612,162.75,2,4,-0.2222222222222222,22.5,9.730769230769232,0.15217391304347827,-0.521594684385382,0.0,1.0,-0.7142857142857143,151
1494,81.49253731343283,165.0,2,1,9.666666666666666,1.4,-0.2884615384615385,-0.17391304347826086,-0.06976744186046512,-1.0,-1.0,-1.8571428571428572,165
1495,177.4413407821229,93.66666666666667,1,4,0.0,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,-2.0,0.42857142857142855,92
1496,1893.764705882353,1667.3333333333333,2,4,-0.2222222222222222,0.3,-0.7884615384615385,-0.13043478260869565,-0.3654485049833887,-2.0,0.0,-0.8571428571428571,765
1497,103.44827586206897,59.5,1,0,0.0,-0.1,-1.0192307692307692,-0.15217391304347827,-0.2724252491694352,-3.0,-2.0,-0.5714285714285714,75
1498,140.36466165413535,130.9,2,4,0.2222222222222222,0.2,-0.8653846153846155,0.021739130434782608,-0.7940199335548173,-1.0,1.0,-0.14285714285714285,131
1499,153.96946564885496,109.9,1,4,0.0,4.7,1.346153846153846,-0.021739130434782608,0.1760797342192691,0.0,0.0,1.7142857142857142,58
1500,201.27619047619046,150.0,1,4,0.0,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,150
1501,140.36466165413535,49.0,1,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,49
1502,74.85074626865672,38.666666666666664,1,0,9.666666666666666,0.2,-0.8653846153846155,-0.15217391304347827,-0.8637873754152824,-2.0,-5.0,0.8571428571428571,36
1503,188.7929104477612,40.0,1,4,0.3333333333333333,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,40
1504,91.04575163398692,39.0,1,3,6.333333333333333,0.0,-0.9615384615384615,-0.15217391304347827,-0.8637873754152824,-1.0,5.0,1.5714285714285714,39
1505,170.50877192982455,136.82857142857142,1,4,9.666666666666666,-0.2,0.0,-0.17391304347826086,0.3488372093023256,0.0,0.0,0.0,49
1506,206.16923076923078,80.0,0,3,0.4444444444444444,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,25
1507,188.7929104477612,162.75,2,4,-0.2222222222222222,18.2,7.730769230769232,0.15217391304347827,-0.4318936877076412,0.0,1.0,-0.42857142857142855,135
